Con,Contp,Reg,Dat,Agtp,Stage,Loc1ISO,StDef,StGen,StCon,Dev,NatRes,Bus,LaRef,SsrPol,GCh,GRa,GeWom,GeMe,HrGen,EqGen,HrDem,HrFra,HrCp,HrSec,HrNi,Med,HrCit,Prot,Pol,Cons,Ele,Pubad,Polps,Terps,Eps,JusCr,JusJu,TjNR,Religion
Afghanistan,Government,Europe and Eurasia,2016-09-22,Intra,SubPar,AFG,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
Afghanistan,Government,Europe and Eurasia,2014-09-21,Intra,Imp,AFG,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,3,0,0,0,0,0,0
Afghanistan,Government,Europe and Eurasia,2012-07-08,InterIntra,Imp,AFG,1,1,0,1,1,1,0,1,1,0,1,1,1,1,2,3,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,1,1
Afghanistan,Government,Europe and Eurasia,2011-12-05,InterIntra,Pre,AFG,1,1,0,2,1,1,0,1,1,0,1,1,1,1,2,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0
Afghanistan,Government,Europe and Eurasia,2011-11-02,InterIntra,Imp,AFG,1,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Afghanistan,Government,Europe and Eurasia,2010-07-22,InterIntra,Imp,AFG,1,1,0,1,1,1,0,1,2,0,1,1,1,1,0,1,0,0,1,0,2,2,0,0,1,2,0,0,0,1,1,1,0
Afghanistan,Government,Europe and Eurasia,2010-06-06,Intra,Pre,AFG,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1
Afghanistan,Government,Europe and Eurasia,2010-01-28,InterIntra,Imp,AFG,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,2,0,0,0,1,1,0,0,0,1,0,1,0
Afghanistan,Government,Europe and Eurasia,2009-03-31,InterIntra,SubPar,AFG,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
Afghanistan,Government,Europe and Eurasia,2009-03-27,InterIntra,Imp,AFG,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,Government,Europe and Eurasia,2008-06-12,InterIntra,Imp,AFG,1,1,0,1,0,1,0,1,0,0,1,0,1,0,2,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0
Afghanistan,Government,Europe and Eurasia,2007-07-03,InterIntra,Imp,AFG,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Afghanistan,Government,Europe and Eurasia,2006-02-01,InterIntra,SubPar,AFG,1,1,0,1,1,1,1,2,3,0,1,1,1,1,1,1,1,0,1,1,1,1,2,0,2,1,0,0,0,1,1,1,1
Afghanistan,Government,Europe and Eurasia,2004-04-01,InterIntra,Imp,AFG,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,2,0,1,0,1,1,0,0,0,0,1,0,0
Afghanistan,Government,Europe and Eurasia,2002-12-24,InterIntra,SubPar,AFG,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,Government,Europe and Eurasia,2002-01-22,InterIntra,Imp,AFG,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Afghanistan,Government,Europe and Eurasia,2001-12-05,Intra,SubPar,AFG,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,2,0,0,0,3,3,1,1,2,0,0,1,1,1,1
Afghanistan,Government,Europe and Eurasia,1999-07-19,InterIntra,Pre,AFG,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
Afghanistan,Government,Europe and Eurasia,1993-03-07,Intra,SubPar,AFG,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,3,0,2,0,1,0,1
Afghanistan,Government,Europe and Eurasia,1992-04-24,Intra,SubPar,AFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0
Afghanistan/Pakistan,Territory,Cross-regional,2007-08-12,InterIntra,SubPar,AFG,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Algeria,Government,Middle East and North Africa,2005-08-14,Intra,SubPar,DZA,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Algeria,Government,Middle East and North Africa,1999-07-20,Intra,Imp,DZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,Government,Middle East and North Africa,1999-07-13,Intra,SubPar,DZA,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Algeria,Government,Middle East and North Africa,1996-09-17,Intra,SubPar,DZA,1,1,0,0,0,0,0,0,0,3,1,0,1,1,3,2,1,0,0,1,0,2,1,3,2,0,0,0,0,0,0,0,1
Algeria,Government,Middle East and North Africa,1995-01-13,Intra,Pre,DZA,1,1,0,0,0,0,0,0,0,2,1,0,1,0,1,1,1,0,0,2,0,0,2,0,1,0,0,0,0,0,1,1,1
Algeria,Government,Middle East and North Africa,1994-01-26,Intra,Pre,DZA,1,1,0,1,1,1,1,0,3,0,0,0,1,2,3,1,0,0,0,3,1,0,3,0,1,1,3,0,0,1,0,0,0
Angola,Government,Africa (excl MENA),2002-04-04,Intra,SubPar,AGO,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Angola,Government,Africa (excl MENA),2002-03-13,Intra,Imp,AGO,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,1,1,0,0,0,0,0,1,0
Angola,Government,Africa (excl MENA),1999-02-18,Intra,Imp,AGO,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Angola,Government,Africa (excl MENA),1999-02-18,Intra,Pre,AGO,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0
Angola,Government,Africa (excl MENA),1999-02-18,Intra,Pre,AGO,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Angola,Government,Africa (excl MENA),1998-01-09,Intra,Imp,AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,3,0,0,0,0,0,0
Angola,Government,Africa (excl MENA),1994-11-15,Intra,SubComp,AGO,1,1,1,0,0,0,0,3,0,2,0,0,1,3,2,1,1,1,0,3,2,0,2,0,3,1,3,0,0,0,1,1,1
Angola,Government,Africa (excl MENA),1993-05-31,Intra,SubPar,AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
Angola,Government,Africa (excl MENA),1991-05-31,Intra,SubPar,AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,Government,Africa (excl MENA),1991-05-31,Intra,Cea,AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,Government,Africa (excl MENA),1991-05-31,Intra,SubPar,AGO,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,2,2,0,0,0,3,1,0,0,0,0,0,0,1
Angola,Government,Africa (excl MENA),1991-05-31,Intra,Cea,AGO,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
Angola/Burundi/Central African Republic/Democratic Republic of Congo/Kenya/Republic of Congo/Rwanda/Sudan/Tanzania/Uganda/Zambia/(African Great Lakes),Government,Africa (excl MENA),2006-12-15,InterIntra,Imp,"",1,1,0,1,1,0,0,0,3,2,1,0,1,3,1,2,1,0,0,3,0,2,0,0,0,0,0,0,0,1,1,0,1
Angola/Burundi/Central African Republic/Democratic Republic of Congo/Kenya/Republic of Congo/Rwanda/Sudan/Tanzania/Uganda/Zambia/(African Great Lakes),Government,Africa (excl MENA),2004-11-20,InterIntra,SubPar,"",1,1,0,1,1,0,0,0,3,2,1,0,1,1,1,3,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1
Angola/Burundi/Central African Republic/Democratic Republic of Congo/Republic of Congo/Rwanda/South Africa/South Sudan/Tanzania/Uganda/Zambia/(African Great Lakes),Government,Africa (excl MENA),2013-02-24,InterIntra,Imp,"",1,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
Angola/Cabinda ,Government/territory,Africa (excl MENA),2006-08-01,Intra,SubComp,AGO,1,0,1,1,1,3,1,2,1,0,1,0,1,0,0,1,0,1,0,2,0,1,3,3,2,1,3,3,3,0,0,3,1
Angola/Central African Republic/Democratic Republic of Congo/Kenya/Republic of Congo/Rwanda/Sudan/Tanzania/Uganda/Zambia/(African Great Lakes),Government,Africa (excl MENA),2006-11-30,InterIntra,SubPar,"",1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Argentina/United Kingdom,Territory,Cross-regional,1995-09-27,Inter,SubComp,ARG,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Argentina/United Kingdom,Territory,Cross-regional,1990-02-15,Inter,SubPar,ARG,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Armenia/Azerbaijan/(Nagorno-Karabakh),Government/territory,Europe and Eurasia,2017-10-16,InterIntra,Ren,AZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia/Azerbaijan/(Nagorno-Karabakh),Government/territory,Europe and Eurasia,2011-03-05,InterIntra,Pre,AZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
